1,110405,大芥菜,約６００ｇ,袋,39.00,0
1,126061,空心菜（善美的）,２５０ｇ,包,37.00,0
1,126062,青江菜（善美的）,２５０ｇ,包,17.00,0
1,110196,九層塔,約１００ｇ,盒,37.00,0
1,110376,大陸Ａ菜,約２５０ｇ,包,17.00,0
1,110191,大蒜,約２００ｇ,包,85.00,0
1,110488,小白菜,約２５０ｇ,包,17.00,0
1,110232,山蘇,約１５０ｇ,盒,45.00,0
1,110231,水蓮菜,２００ｇ,盒,48.00,0
1,110203,本島蒿苣（Ａ菜）,約２５０ｇ,包,24.00,0
1,110202,甘藷葉,約２５０ｇ,包,24.00,0
1,110200,白莧菜,約２５０ｇ,包,37.00,0
1,110206,裸賣葉菜,約２５０ｇ,束,15.00,0
1,110238,豆苗,約１５０ｇ,盒,45.00,0
1,110186,宜蘭溫泉空心菜,２５０ｇ,包,25.00,0
1,110185,宜蘭蔥,約２００ｇ,包,58.00,0
1,110382,油菜,約２５０ｇ,包,17.00,0
1,110487,空心菜,約２５０ｇ,包,37.00,0
1,110189,芹菜,約２００ｇ,包,46.00,0
1,110375,芥菜,約２５０ｇ,包,28.00,0
1,110205,青江白菜,約２５０ｇ,包,17.00,0
1,110190,青蔥,約２００ｇ,包,42.00,0
1,110385,娃娃菜,約２００ｇ,包,58.00,0
1,110374,皇宮菜,２５０ｇ,包,42.00,0
1,110361,紅莧菜,２５０ｇ,包,24.00,0
1,110377,紅鳳菜,約２５０ｇ,包,39.00,0
1,110210,韭菜,約２００ｇ,包,54.00,0
1,110209,韭菜花,約２００ｇ,包,55.00,0
1,110192,香菜,約１００ｇ,包,52.00,0
1,110201,格藍菜,約２５０ｇ,包,28.00,0
1,110187,茼蒿,約２００ｇ,包,33.00,0
1,110204,葉菜,組,組,55.00,0
1,110373,菠菜,約２５０ｇ,包,24.00,0
1,110198,廣東蒿苣,２５０ｇ,包,15.00,0
1,110193,龍鬚菜,２５０ｇ,包,29.00,0
1,110207,蘿美,２～４入／約４５０ｇ,包,95.00,0
1,710402,小白菜（裸賣）,約２５０ｇ,束,15.00,0
1,710403,青江菜（裸賣）,約２５０ｇ,束,15.00,0
1,710404,青格藍（裸賣）,約２５０ｇ,束,26.00,0
1,710405,Ａ菜（裸賣）,約２５０ｇ,束,22.00,0
1,710406,空心菜（裸賣）,約２５０ｇ,束,35.00,0
1,710407,青蔥（裸賣）,約１５０ｇ,束,39.00,0
1,710408,新農大蒜,約２５０ｇ,束,82.00,0
1,710409,小芥菜（裸賣）,約２５０ｇ,束,26.00,0
1,710410,地瓜葉（裸賣）,約２５０ｇ,束,22.00,0
1,710411,油菜（裸賣）,約２５０ｇ,束,15.00,0
1,710412,白莧菜（裸賣）,約２５０ｇ,束,35.00,0
1,710413,新農芫荽,約１５０ｇ,束,49.00,0
1,710414,菠菜（裸賣）,２５０ｇ,束,22.00,0
1,710415,芹菜（裸賣）,約２５０ｇ,束,43.00,0
1,116529,川七（北農）,１５０ｇ,盒,25.00,0
1,116530,香椿（北農）,１５０ｇ,盒,199.00,0
1,116531,茴香（北農）,３００ｇ,盒,29.00,0
1,116532,蕨菜（北農）,３００ｇ,盒,22.00,0
1,116533,西洋菜（北農）,１５０ｇ,盒,10.00,0
1,116534,珊瑚草（北農）,１５０ｇ,盒,32.00,0
1,116575,蘿蔔嬰（北農）,１００ｇ,盒,23.00,0
1,116578,土白菜（北農）,２５０ｇ,盒,49.00,0
1,116579,波斯頓萵苣（北農）,２５０ｇ,盒,32.00,0
1,116580,蘿蔓生菜（北農）,２５０ｇ,盒,149.00,0
1,110582,烏莧菜（吉園圃）,２５０ｇ,盒,0.00,0
1,116186,宜蘭溫泉空心菜（北農,２５０ｇ,包,25.00,0
1,116185,宜蘭蔥（北農）,２００ｇ,包,20.00,0
1,116189,芹菜管,約３８０ｇ,包,48.00,0
1,116187,山茼蒿,約２５０ｇ,包,33.00,0
1,116207,蘿美（北農）,１０００Ｇ,公斤,125.00,0
1,710432,新農茼蒿,約２００ｇ,包,33.00,0
1,710445,紅莧菜（裸賣）,約２５０ｇ,束,35.00,0
1,710446,新農九層塔,約１００ｇ,包,37.00,0
1,710447,紅鳳菜（裸賣）,約２５０ｇ,束,36.00,0
1,710448,新農土白菜,約２５０ｇ,束,15.00,0
1,710449,韭菜（裸賣）,２５０ｇ,束,52.00,0
1,710450,新農甘藍芽,約２５０Ｇ,束,18.00,0
1,710451,新農準人瓜苗,２５０Ｇ,束,23.00,0
1,710482,皇宮菜（裸賣）,２５０Ｇ,束,15.00,0
1,710483,龍鬚菜（裸賣）,２５０Ｇ,束,15.00,0
1,710484,韭菜花（裸賣）,２５０Ｇ,束,19.00,0
1,710469,台糖豌豆苗,１２０ｇ,盒,22.00,0
1,710485,大陸妹（裸賣）,２５０Ｇ,束,15.00,0
1,110930,小白菜（八德）,２５０ｇ,包,15.00,0
1,110931,小芥菜（八德）,２５０ｇ,包,15.00,0
1,110932,菠菜（八德）,２５０ｇ,包,23.00,0
1,110933,青江菜（八德）,２５０ｇ,包,14.00,0
1,110934,油菜（八德）,２５０ｇ,包,15.00,0
1,110935,空心菜（八德）,２５０ｇ,包,19.00,0
1,110936,茼蒿（八德）,２５０ｇ,包,28.00,0
1,110937,韭菜（八德）,２５０ｇ,包,22.00,0
1,110938,青蔥（八德）,２５０ｇ,包,18.00,0
